"";"ano_cod";"ano_desc";"regiao_cod";"regiao_desc";"cultura_cod";"cultura_desc";"cultura";"Área colhida";"Área destinada à colheita";"Área plantada";"Quantidade produzida";"Rendimento médio da produção";"Valor da produção"
"191";1990;1990;3;"Sudeste";2746;"Tungue (fruto seco)";"permanente";NA;NA;NA;NA;NA;NA
"192";1990;1990;3;"Sudeste";2747;"Urucum (semente)";"permanente";2282;2438;NA;2339;1024;178455
"193";1990;1990;3;"Sudeste";2748;"Uva";"permanente";9423;9510;NA;129579;13751;15591220
"194";1990;1990;3;"Sudeste";31619;"Café (em grão) Arábica";"permanente";NA;NA;NA;NA;NA;NA
"195";1990;1990;3;"Sudeste";31620;"Café (em grão) Canephora";"permanente";NA;NA;NA;NA;NA;NA
"196";1990;1990;3;"Sudeste";90001;"Palmito";"permanente";NA;NA;NA;NA;NA;NA
"197";1990;1990;3;"Sudeste";109179;"Girassol (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"198";1990;1990;3;"Sudeste";109180;"Triticale (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"199";1990;1990;4;"Sul";2688;"Abacaxi";"temporária";579;NA;580;6251;10796;62278
"200";1990;1990;4;"Sul";2689;"Algodão herbáceo (em caroço)";"temporária";490000;NA;490039;852600;1740;17465545
"201";1990;1990;4;"Sul";2690;"Alho";"temporária";8154;NA;8159;33307;4084;5727912
"202";1990;1990;4;"Sul";2691;"Amendoim (em casca)";"temporária";7694;NA;7701;9679;1257;238050
"203";1990;1990;4;"Sul";2692;"Arroz (em casca)";"temporária";1001293;NA;1005893;4015577;4010;67251491
"204";1990;1990;4;"Sul";2693;"Aveia (em grão)";"temporária";188905;NA;197266;174226;922;1245311
"205";1990;1990;4;"Sul";2694;"Batata-doce";"temporária";31066;NA;31071;348320;11212;2415193
"206";1990;1990;4;"Sul";2695;"Batata-inglesa";"temporária";101156;NA;101537;1137331;11243;45753622
"207";1990;1990;4;"Sul";2696;"Cana-de-açúcar";"temporária";206980;NA;207406;13630374;65853;14834808
"208";1990;1990;4;"Sul";2697;"Cebola";"temporária";50092;NA;51275;482789;9638;5480485
"209";1990;1990;4;"Sul";2698;"Centeio (em grão)";"temporária";4395;NA;4395;4535;1031;61490
"210";1990;1990;4;"Sul";2699;"Cevada (em grão)";"temporária";105067;NA;105067;157353;1497;2585662
"211";1990;1990;4;"Sul";2700;"Ervilha (em grão)";"temporária";649;NA;649;1519;2340;29110
"212";1990;1990;4;"Sul";2701;"Fava (em grão)";"temporária";642;NA;642;470;732;6466
"213";1990;1990;4;"Sul";2702;"Feijão (em grão)";"temporária";1169138;NA;1290620;700464;599;15957266
"214";1990;1990;4;"Sul";2703;"Fumo (em folha)";"temporária";222191;NA;222197;397326;1788;21119839
"215";1990;1990;4;"Sul";2704;"Juta (fibra)";"temporária";NA;NA;NA;NA;NA;NA
"216";1990;1990;4;"Sul";2705;"Linho (semente)";"temporária";4061;NA;4061;3364;828;50388
"217";1990;1990;4;"Sul";2706;"Malva (fibra)";"temporária";NA;NA;NA;NA;NA;NA
"218";1990;1990;4;"Sul";2707;"Mamona (baga)";"temporária";3942;NA;3942;5809;1473;57919
"219";1990;1990;4;"Sul";2708;"Mandioca";"temporária";290916;NA;291681;5084944;17479;22873684
"220";1990;1990;4;"Sul";2709;"Melancia";"temporária";17074;NA;17058;42777;2505;671310
"221";1990;1990;4;"Sul";2710;"Melão";"temporária";2039;NA;2039;5043;2473;83595
"222";1990;1990;4;"Sul";2711;"Milho (em grão)";"temporária";4737300;NA;4751136;11792614;2489;86486429
"223";1990;1990;4;"Sul";2712;"Rami (fibra)";"temporária";7139;NA;7144;10183;1426;295439
"224";1990;1990;4;"Sul";2713;"Soja (em grão)";"temporária";6149829;NA;6159016;11500593;1870;102076912
"225";1990;1990;4;"Sul";2714;"Sorgo (em grão)";"temporária";50019;NA;50049;98292;1965;537509
"226";1990;1990;4;"Sul";2715;"Tomate";"temporária";5778;NA;5890;184891;31999;2863755
"227";1990;1990;4;"Sul";2716;"Trigo (em grão)";"temporária";2290828;NA;2923017;2670968;1165;35878741
"228";1990;1990;4;"Sul";2717;"Abacate";"permanente";1909;1909;NA;34896;18279;198748
"229";1990;1990;4;"Sul";2718;"Algodão arbóreo (em caroço)";"permanente";NA;NA;NA;NA;NA;NA
"230";1990;1990;4;"Sul";2719;"Azeitona";"permanente";39;39;NA;52;1333;549
"231";1990;1990;4;"Sul";2720;"Banana (cacho)";"permanente";42861;42881;NA;58976;1375;4459723
"232";1990;1990;4;"Sul";2721;"Borracha (látex coagulado)";"permanente";NA;NA;NA;NA;NA;NA
"233";1990;1990;4;"Sul";2722;"Cacau (em amêndoa)";"permanente";NA;NA;NA;NA;NA;NA
"234";1990;1990;4;"Sul";2723;"Café (em grão) Total";"permanente";426581;429877;NA;313821;735;17647192
"235";1990;1990;4;"Sul";2724;"Caqui";"permanente";1107;1107;NA;78089;70541;162942
"236";1990;1990;4;"Sul";2725;"Castanha de caju";"permanente";NA;NA;NA;NA;NA;NA
"237";1990;1990;4;"Sul";2726;"Chá-da-índia (folha verde)";"permanente";85;85;NA;1013;11917;13676
"238";1990;1990;4;"Sul";2727;"Coco-da-baía";"permanente";NA;NA;NA;NA;NA;NA
"239";1990;1990;4;"Sul";2728;"Dendê (cacho de coco)";"permanente";NA;NA;NA;NA;NA;NA
"240";1990;1990;4;"Sul";2729;"Erva-mate (folha verde)";"permanente";8494;8515;NA;147072;17314;2361080
"241";1990;1990;4;"Sul";2730;"Figo";"permanente";1681;1681;NA;155633;92583;177278
"242";1990;1990;4;"Sul";2731;"Goiaba";"permanente";708;708;NA;66050;93290;83282
"243";1990;1990;4;"Sul";2732;"Guaraná (semente)";"permanente";NA;NA;NA;NA;NA;NA
"244";1990;1990;4;"Sul";2733;"Laranja";"permanente";32176;32371;NA;2840613;88283;6088278
"245";1990;1990;4;"Sul";2734;"Limão";"permanente";2832;2832;NA;278386;98300;554573
"246";1990;1990;4;"Sul";2735;"Maçã";"permanente";21285;21290;NA;2664129;125164;11002849
"247";1990;1990;4;"Sul";2736;"Mamão";"permanente";589;589;NA;6929;11764;47774
"248";1990;1990;4;"Sul";2737;"Manga";"permanente";412;412;NA;11178;27131;50977
"249";1990;1990;4;"Sul";2738;"Maracujá";"permanente";20;20;NA;1440;72000;2736
"250";1990;1990;4;"Sul";2739;"Marmelo";"permanente";287;306;NA;7434;25902;6954
"251";1990;1990;4;"Sul";2740;"Noz (fruto seco)";"permanente";7901;7901;NA;2835;358;129279
"252";1990;1990;4;"Sul";2741;"Pera";"permanente";1349;1349;NA;69398;51444;200343
"253";1990;1990;4;"Sul";2742;"Pêssego";"permanente";17921;17923;NA;816552;45563;1092789
"254";1990;1990;4;"Sul";2743;"Pimenta-do-reino";"permanente";NA;NA;NA;NA;NA;NA
